,song_no,title,album,artist,rank,like
44,33077589,"윈윈 (Feat. 개코, BewhY) (Prod. BewhY)",쇼미더머니 9 Episode 1,허성현 (Rose de Penny),45,19030
45,30773554,Downtown Baby,Downtown Baby,블루 (BLOO),46,179872
46,31853557,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽 (MAKTUB),47,221602
47,30244931,봄날,YOU NEVER WALK ALONE,방탄소년단,48,516025
48,32187544,우리 왜 헤어져야 해,우리 왜 헤어져야 해,신예영,49,92001
49,32378104,마음을 드려요,사랑의 불시착 OST Part 11,아이유,50,181121
50,32947184,Bad Boy,Bad Boy,청하,51,50277
51,33002813,"사랑 못해, 남들 쉽게 다 하는 거","사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),52,20706
52,31029291,2002,Speak Your Mind (Deluxe),Anne-Marie,53,344215
53,14776,All I Want For Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,54,143842
54,32998020,소확행,힘든 건 사랑이 아니다,임창정,55,24310
55,32559781,살짝 설렜어 (Nonstop),NONSTOP,오마이걸 (OH MY GIRL),56,162154
56,32790516,다시 여기 바닷가,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",57,227760
57,33016550,너도 아는,너도 아는,폴킴,58,31968
58,33077238,잠시,BE,방탄소년단,59,84155
59,32614125,사랑하게 될 줄 알았어,슬기로운 의사생활 OST Part 11,전미도,60,128234
60,32996210,행복해,Happy,송하예,61,19376
61,32486613,처음처럼,CEREMONIA,엠씨더맥스 (M.C the MAX),62,98830
62,31984204,안녕,호텔 델루나 OST Part.10,폴킴,63,181117
63,32508053,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅,64,102907
64,33034623,AYA,TRAVEL,마마무 (Mamamoo),65,26574
65,32137576,Don't Start Now,Future Nostalgia,Dua Lipa,66,125661
66,32399830,ON,MAP OF THE SOUL : 7,방탄소년단,67,253238
67,33077240,Stay,BE,방탄소년단,68,79288
68,32906021,별을 담은 시 (Ode To The Stars),Red Moon : Ode To The Stars,마크툽 (MAKTUB),69,30823
69,31388145,너를 만나,너를 만나,폴킴,70,274805
70,33077239,병,BE,방탄소년단,71,80132
71,33064355,HAPPENING,HAPPENING,AKMU (악동뮤지션),72,27299
72,31509376,12:45 (Stripped),12:45 (Stripped),Etham,73,96994
73,32143487,Love poem,Love poem,아이유,74,277134
74,32313543,아무노래,아무노래,지코 (ZICO),75,250243
75,32345931,시작,이태원 클라쓰 OST Part.2,가호 (Gaho),76,193668
76,32961716,Pretty Savage,THE ALBUM,BLACKPINK,77,45830
77,32833393,덤디덤디 (DUMDi DUMDi),덤디덤디 (DUMDi DUMDi),(여자)아이들,78,88922
78,33067476,Black Mamba,Black Mamba,aespa,79,21770
79,32915886,축하해 (Prod. By VAN.C),축하해,오반,80,34542
80,32122539,Maniac,Maniac,Conan Gray,81,109564
81,5475060,Santa Tell Me,Santa Tell Me,Ariana Grande,82,162651
82,31341518,Paris In The Rain,I met you when I was 18. (the playlist),Lauv,83,235009
83,32902881,밤새 (취향저격 그녀 X 카더가든),밤새 (취향저격 그녀 X 카더가든),카더가든,84,34612
84,33029109,도망가,TAKE,MINO (송민호),85,36620
85,31703498,시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN (박혜원),86,178408
86,32377231,그때 그 아인,이태원 클라쓰 OST Part.6,김필,87,101174
87,32616054,취했나봐,취했나봐,황인욱,88,41012
88,32734819,첫 줄,Dear,신용재 (2F),89,35574
89,32860419,Not Shy,Not Shy,ITZY (있지),90,57040
90,32725022,보라빛 밤 (pporappippam),보라빛 밤 (pporappippam),선미,91,82335
91,32734372,Summer Hate (Feat. 비),RANDOM BOX,지코 (ZICO),92,103627
92,32473998,좋은 사람 있으면 소개시켜줘,슬기로운 의사생활 OST Part 2,조이 (JOY),93,106736
93,32889003,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,94,71567
94,31314144,가을 타나 봐,가을 타나 봐,바이브,95,151283
95,33027247,너의 곁에만 맴돌아,너의 곁에만 맴돌아,노을,96,13411
96,32273582,Psycho,‘The ReVe Festival’ Finale,Red Velvet (레드벨벳),97,207278
97,31701428,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,98,240655
98,31768993,Painkiller,Painkiller,Ruel,99,115345
99,32698765,Into the I-LAND,I-LAND Part.1 Signal Song,아이유,100,110440
